##Refuelling
"Odômetro (km)","Data","Combustível","Preço / L","Valor total","Volume","Completou o tanque","Segundo combustível","Preço / L","Valor total","Volume","Completou o tanque" 2,"Terceiro combustível","Preço / L","Valor total","Volume","Completou o tanque" 3,"Média","Distância","Posto de combustível","Motorista","Motivo","Forma de pagamento","Observação"
"161638.0","2026-04-12 13:41:58","Etanol","4.19","209.999","50.119","Sim","","0","0","0","Não","","0","0","0","Não","3,532 km/L","","Rafaela","","","",""
"161461.0","2026-03-26 12:14:50","Etanol","4.19","193","46.062","Sim","","0","0","0","Não","","0","0","0","Não","4,299 km/L","177.0","Rafaela","","","",""
"161263.0","2026-03-14 09:37:28","Etanol","4.09","148","36.186","Sim","","0","0","0","Não","","0","0","0","Não","5,361 km/L","198.0","Rafaela","","","",""
"161069.0","2026-03-06 19:13:42","Etanol","4.09","187","45.721","Sim","","0","0","0","Não","","0","0","0","Não","3,718 km/L","194.0","Rafaela","","","",""
"160899.0","2026-02-18 21:18:27","Etanol","4.19","192","45.823","Sim","","0","0","0","Não","","0","0","0","Não","3,906 km/L","170.0","Rafaela","","","",""
"160720.0","2026-02-07 20:33:25","Etanol","4.19","190","45.346","Sim","","0","0","0","Não","","0","0","0","Não","3,969 km/L","179.0","Rafaela","","","",""
"160540.0","2026-01-26 15:38:05","Etanol","4.19","175","41.766","Sim","","0","0","0","Não","","0","0","0","Não","4,19 km/L","180.0","Rafaela","","","",""
"160365.0","2026-01-15 19:07:14","Etanol","4.19","210","50.119","Sim","","0","0","0","Não","","0","0","0","Não","3,811 km/L","175.0","Rafaela","","","",""
"160174.0","2025-12-30 11:45:58","Etanol","4.19","126","30.072","Sim","","0","0","0","Não","","0","0","0","Não","8,447 km/L","191.0","Rafaela","","","",""
"159920.0","2025-12-29 11:02:14","Etanol","4.69","120.002","25.587","Sim","","0","0","0","Não","","0","0","0","Não","8,286 km/L","254.0","Rafaela","","","",""
"159708.0","2025-12-28 17:22:26","Etanol","4.19","81","19.332","Sim","","0","0","0","Não","","0","0","0","Não","4,811 km/L","212.0","Rafaela","","","",""
"159615.0","2025-12-23 23:41:10","Etanol","4.25","187","44","Sim","","0","0","0","Não","","0","0","0","Não","4,409 km/L","93.0","Auto Posto Phoenix de Itapeva","","","",""
"159421.0","2025-12-12 16:19:08","Etanol","4.19","175.98","42","Sim","","0","0","0","Não","","0","0","0","Não","4,452 km/L","194.0","Rafaela","","","",""
"159234.0","2025-12-03 21:11:44","Etanol","4.19","180","42.959","Sim","","0","0","0","Não","","0","0","0","Não","4,074 km/L","187.0","Rafaela","","","",""
"159059.0","2025-11-19 21:40:13","Etanol","3.82","147","38.482","Sim","","0","0","0","Não","","0","0","0","Não","3,976 km/L","175.0","Rafaela","","","",""
"158906.0","2025-11-07 15:05:11","Etanol","3.79","138","36.412","Sim","","0","0","0","Não","","0","0","0","Não","4,202 km/L","153.0","Rafaela","","","",""
"158753.0","2025-10-30 21:23:40","Etanol","3.79","185.001","48.813","Sim","","0","0","0","Não","","0","0","0","Não","3,565 km/L","153.0","Rafaela","","","",""
"158579.0","2025-10-12 15:38:04","Etanol","3.79","171","45.119","Sim","","0","0","0","Não","","0","0","0","Não","3,901 km/L","174.0","Rafaela","","","",""
"158403.0","2025-09-23 17:35:58","Etanol","3.79","184","48.549","Sim","","0","0","0","Não","","0","0","0","Não","3,728 km/L","176.0","Rafaela","","","",""
"158222.0","2025-09-07 17:10:11","Etanol","3.79","156","41.161","Sim","","0","0","0","Não","","0","0","0","Não","3,911 km/L","181.0","Rafaela","","","",""
"158061.0","2025-08-26 08:24:43","Etanol","3.79","170","44.855","Sim","","0","0","0","Não","","0","0","0","Não","3,66 km/L","161.0","Rafaela","","","",""
"158060.0","2025-08-26 08:23:24","Etanol","4.39","37","8.428","Não","","0","0","0","Não","","0","0","0","Não","3,66 km/L","1.0","Marinho-Posto de Serviços","","","",""
"157866.0","2025-08-10 14:32:21","Etanol","3.79","181","47.757","Sim","","0","0","0","Não","","0","0","0","Não","4,146 km/L","194.0","Zanforlim","","","",""
"157668.0","2025-07-20 17:25:08","Etanol","3.79","196","51.715","Sim","","0","0","0","Não","","0","0","0","Não","3,906 km/L","198.0","Rafaela","","","",""
"157466.0","2025-06-23 17:24:33","Etanol","3.79","185.71","49","Sim","","0","0","0","Não","","0","0","0","Não","4 km/L","202.0","Rafaela","","","",""
"157270.0","2025-06-11 12:59:48","Etanol","3.79","188","49.604","Sim","","0","0","0","Não","","0","0","0","Não","4,052 km/L","196.0","Rafaela","","","",""
"157069.0","2025-05-28 20:45:39","Etanol","3.79","126","33.245","Sim","","0","0","0","Não","","0","0","0","Não","4,121 km/L","201.0","Rafaela","","","",""
"156932.0","2025-05-15 20:01:59","Etanol","3.79","119","31.398","Sim","","0","0","0","Não","","0","0","0","Não","6,497 km/L","137.0","Rafaela","","","",""
"156728.0","2025-05-08 15:24:31","Etanol","4.09","106","25.917","Sim","","0","0","0","Não","","0","0","0","Não","10,649 km/L","204.0","Siqueleiro","","","",""
"156452.0","2025-05-08 08:26:56","Etanol","3.85","126","32.727","Sim","","0","0","0","Não","","0","0","0","Não","2,506 km/L","276.0","Auto Posto Phoenix de Itapeva","","","",""
"156370.0","2025-04-24 08:17:00","Etanol","3.85","191.576","49.76","Sim","","0","0","0","Não","","0","0","0","Não","3,698 km/L","82.0","Auto Posto Phoenix de Itapeva","","","",""
"156186.0","2025-04-04 20:52:19","Etanol","3.85","197","51.169","Sim","","0","0","0","Não","","0","0","0","Não","3,83 km/L","184.0","Rafaela","","","",""
"155990.0","2025-03-20 12:36:25","Etanol","3.85","157","40.779","Sim","","0","0","0","Não","","0","0","0","Não","4,34 km/L","196.0","Auto Posto Phoenix de Itapeva","","","",""
"155813.0","2025-03-09 22:43:25","Etanol","3.85","195.002","50.65","Sim","","0","0","0","Não","","0","0","0","Não","5,751 km/L","177.0","Auto Posto Phoenix de Itapeva","","","",""
"155812.0","2025-03-09 22:35:57","Etanol","3.89","14","3.599","Não","","0","0","0","Não","","0","0","0","Não","5,751 km/L","1.0","Auto Posto Phoenix de Itapeva","","","",""
"155501.0","2025-02-21 17:22:31","Etanol","3.99","132.999","33.333","Sim","","0","0","0","Não","","0","0","0","Não","9,69 km/L","311.0","Siqueleiro","","","",""
"155178.0","2025-02-21 07:56:51","Etanol","3.79","130.001","34.301","Sim","","0","0","0","Não","","0","0","0","Não","3,819 km/L","323.0","Rafaela","","","",""
"155047.0","2025-02-13 11:59:13","Etanol","3.79","191.6","50.554","Sim","","0","0","0","Não","","0","0","0","Não","4,312 km/L","131.0","Rafaela","","","",""
"154829.0","2025-01-30 09:37:28","Etanol","3.69","139.42","37.783","Sim","","0","0","0","Não","","0","0","0","Não","3,441 km/L","218.0","Rafaela","","","",""
"154699.0","2025-01-16 09:42:10","Etanol","3.69","111.8","30.298","Sim","","0","0","0","Não","","0","0","0","Não","3,994 km/L","130.0","Rafaela","","","",""
"154578.0","2025-01-06 20:15:48","Etanol","3.69","166","44.986","Sim","","0","0","0","Não","","0","0","0","Não","4,624 km/L","121.0","Zanforlim","","","",""
"154370.0","2024-12-05 19:49:41","Etanol","3.69","185","50.136","Sim","","0","0","0","Não","","0","0","0","Não","4,189 km/L","208.0","Rafaela","","","",""
"154160.0","2024-11-21 17:39:26","Etanol","3.69","151.021","40.927","Sim","","0","0","0","Não","","0","0","0","Não","4,558 km/L","210.0","Rafaela","","","",""
"154029.0","2024-11-11 15:41:04","Etanol","3.65","50","13.699","Não","","0","0","0","Não","","0","0","0","Não","4,558 km/L","131.0","Zanforlim","","","",""
"153911.0","2024-11-04 19:48:08","Etanol","3.65","164.04","44.942","Sim","","0","0","0","Não","","0","0","0","Não","4,873 km/L","118.0","Rafaela","","","",""
"153692.0","2024-10-25 09:45:24","Etanol","3.59","156.991","43.73","Sim","","0","0","0","Não","","0","0","0","Não","4,917 km/L","219.0","Rafaela","","","",""
"153477.0","2024-10-16 19:27:03","Etanol","3.59","170","47.354","Sim","","0","0","0","Não","","0","0","0","Não","4,561 km/L","215.0","Rafaela","","","",""
"153261.0","2024-10-05 21:57:47","Etanol","3.75","156","41.6","Sim","","0","0","0","Não","","0","0","0","Não","4,76 km/L","216.0","Auto Posto Phoenix de Itapeva","","","",""
"153063.0","2024-09-25 18:57:22","Etanol","3.49","144.8","41.49","Sim","","0","0","0","Não","","0","0","0","Não","5,158 km/L","198.0","Rafaela","","","",""
"152849.0","2024-09-13 09:52:37","Etanol","3.49","150","42.98","Sim","","0","0","0","Não","","0","0","0","Não","5,188 km/L","214.0","Rafaela","","","",""
"152626.0","2024-09-05 10:01:37","Etanol","3.75","142.16","37.909","Sim","","0","0","0","Não","","0","0","0","Não","5,197 km/L","223.0","Auto Posto Phoenix de Itapeva","","","",""
"152429.0","2024-08-27 22:24:59","Etanol","3.75","150.84","40.224","Sim","","0","0","0","Não","","0","0","0","Não","4,873 km/L","197.0","Auto Posto Phoenix de Itapeva","","","",""
"152233.0","2024-08-18 17:52:26","Etanol","3.75","158.13","42.168","Sim","","0","0","0","Não","","0","0","0","Não","4,696 km/L","196.0","Auto Posto Phoenix de Itapeva","","","",""
"152035.0","2024-08-09 18:28:29","Etanol","3.59","169.17","47.123","Sim","","0","0","0","Não","","0","0","0","Não","4,456 km/L","198.0","Rafaela","","","",""
"151825.0","2024-07-22 14:33:06","Etanol","3.59","126.716","35.297","Sim","","0","0","0","Não","","0","0","0","Não","4,667 km/L","210.0","Rafaela","","","",""
"151823.0","2024-07-22 14:26:18","Etanol","4.29","22.31","5.2","Não","","0","0","0","Não","","0","0","0","Não","4,667 km/L","2.0","Marinho-Posto de Serviços","","","",""
"151636.0","2024-07-04 17:25:17","Etanol","3.44","141.312","41.079","Sim","","0","0","0","Não","","0","0","0","Não","4,504 km/L","187.0","Rafaela","","","",""
"151451.0","2024-06-21 10:54:50","Etanol","3.29","51.998","15.805","Sim","","0","0","0","Não","","0","0","0","Não","5,062 km/L","185.0","Rafaela","","","",""
"151371.0","2024-06-03 16:12:57","Etanol","3.29","152.3","46.292","Sim","","0","0","0","Não","","0","0","0","Não","4,428 km/L","80.0","Auto Posto Phoenix de Itapeva","","","",""
"151166.0","2024-05-16 11:04:48","Etanol","3.29","145.54","44.237","Sim","","0","0","0","Não","","0","0","0","Não","4,725 km/L","205.0","Rafaela","","","",""
"150957.0","2024-05-04 20:18:38","Etanol","3.29","144","43.769","Sim","","0","0","0","Não","","0","0","0","Não","4,455 km/L","209.0","Zanforlim","","","",""
"150762.0","2024-04-20 20:44:17","Etanol","3.29","128.892","39.177","Sim","","0","0","0","Não","","0","0","0","Não","5,003 km/L","195.0","Rafaela","","","",""
"150566.0","2024-04-13 12:55:46","Etanol","3.09","141.82","45.896","Sim","","0","0","0","Não","","0","0","0","Não","4,249 km/L","196.0","Rafaela","","","",""
"150371.0","2024-04-04 19:20:24","Etanol","3.09","127.518","41.268","Sim","","0","0","0","Não","","0","0","0","Não","5,064 km/L","195.0","Rafaela","","","",""
"150162.0","2024-03-22 12:03:11","Etanol","2.99","118.24","39.545","Sim","","0","0","0","Não","","0","0","0","Não","5,184 km/L","209.0","Rafaela","","","",""
"149957.0","2024-03-14 17:57:18","Etanol","2.99","130","43.478","Sim","","0","0","0","Não","","0","0","0","Não","4,991 km/L","205.0","Zanforlim","","","",""
